,location,time,students
147,585,2018-12-18 01:30:00,0
148,585,2018-12-18 02:00:00,3
149,585,2018-12-18 02:30:00,3
150,585,2018-12-18 03:00:00,2
151,585,2018-12-18 03:30:00,2
152,585,2018-12-18 04:00:00,2
153,585,2018-12-18 04:30:00,2
154,585,2018-12-18 05:00:00,2
155,585,2018-12-18 05:30:00,3
156,585,2018-12-18 06:00:00,3
157,585,2018-12-18 06:30:00,0
158,585,2018-12-18 07:00:00,1
159,585,2018-12-18 07:30:00,0
160,585,2018-12-18 08:00:00,3
161,585,2018-12-18 08:30:00,1
162,585,2018-12-18 09:00:00,2
163,585,2018-12-18 09:30:00,2
164,585,2018-12-18 10:00:00,0
165,585,2018-12-18 10:30:00,2
166,585,2018-12-18 11:00:00,2
167,585,2018-12-18 11:30:00,2
168,585,2018-12-18 12:00:00,2
169,585,2018-12-18 12:30:00,3
170,585,2018-12-18 13:00:00,1
171,585,2018-12-18 13:30:00,2
172,585,2018-12-18 14:00:00,0
173,585,2018-12-18 14:30:00,1
174,585,2018-12-18 15:00:00,3
175,585,2018-12-18 15:30:00,1
176,585,2018-12-18 16:00:00,2
177,585,2018-12-18 16:30:00,1
178,585,2018-12-18 17:00:00,1
179,585,2018-12-18 17:30:00,1
180,585,2018-12-18 18:00:00,1
181,585,2018-12-18 18:30:00,0
182,585,2018-12-18 19:00:00,3
183,585,2018-12-18 19:30:00,3
184,585,2018-12-18 20:00:00,0
185,585,2018-12-18 20:30:00,3
186,585,2018-12-18 21:00:00,1
187,585,2018-12-18 21:30:00,3
188,585,2018-12-18 22:00:00,0
189,585,2018-12-18 22:30:00,1
190,585,2018-12-18 23:00:00,1
191,585,2018-12-18 23:30:00,1
192,584,2018-12-18 00:00:00,0
193,584,2018-12-18 00:30:00,0
194,584,2018-12-18 01:00:00,0
195,584,2018-12-18 01:30:00,0
196,584,2018-12-18 02:00:00,0
197,584,2018-12-18 02:30:00,0
198,584,2018-12-18 03:00:00,0
199,584,2018-12-18 03:30:00,0
200,584,2018-12-18 04:00:00,0
201,584,2018-12-18 04:30:00,0
202,584,2018-12-18 05:00:00,0
203,584,2018-12-18 05:30:00,0
204,584,2018-12-18 06:00:00,0
205,584,2018-12-18 06:30:00,0
206,584,2018-12-18 07:00:00,0
207,584,2018-12-18 07:30:00,0
208,584,2018-12-18 08:00:00,0
209,584,2018-12-18 08:30:00,1
210,584,2018-12-18 09:00:00,2
211,584,2018-12-18 09:30:00,1
212,584,2018-12-18 10:00:00,1
213,584,2018-12-18 10:30:00,1
214,584,2018-12-18 11:00:00,16
215,584,2018-12-18 11:30:00,11
216,584,2018-12-18 12:00:00,20
217,584,2018-12-18 12:30:00,3
218,584,2018-12-18 13:00:00,0
219,584,2018-12-18 13:30:00,0
220,584,2018-12-18 14:00:00,0
221,584,2018-12-18 14:30:00,0
222,584,2018-12-18 15:00:00,1
223,584,2018-12-18 15:30:00,2
224,584,2018-12-18 16:00:00,1
225,584,2018-12-18 16:30:00,1
226,584,2018-12-18 17:00:00,1
227,584,2018-12-18 17:30:00,0
228,584,2018-12-18 18:00:00,1
229,584,2018-12-18 18:30:00,0
230,584,2018-12-18 19:00:00,0
231,584,2018-12-18 19:30:00,1
232,584,2018-12-18 20:00:00,1
233,584,2018-12-18 20:30:00,3
234,584,2018-12-18 21:00:00,1
235,584,2018-12-18 21:30:00,0
236,584,2018-12-18 22:00:00,0
237,584,2018-12-18 22:30:00,0
238,584,2018-12-18 23:00:00,0
239,584,2018-12-18 23:30:00,0
240,583,2018-12-18 00:00:00,0
241,583,2018-12-18 00:30:00,0
242,583,2018-12-18 01:00:00,0
243,583,2018-12-18 01:30:00,0
244,583,2018-12-18 02:00:00,0
245,583,2018-12-18 02:30:00,0
246,583,2018-12-18 03:00:00,0
247,583,2018-12-18 03:30:00,0
248,583,2018-12-18 04:00:00,0
249,583,2018-12-18 04:30:00,0
250,583,2018-12-18 05:00:00,0
251,583,2018-12-18 05:30:00,0
252,583,2018-12-18 06:00:00,0
253,583,2018-12-18 06:30:00,0
254,583,2018-12-18 07:00:00,0
255,583,2018-12-18 07:30:00,0
256,583,2018-12-18 08:00:00,0
257,583,2018-12-18 08:30:00,3
258,583,2018-12-18 09:00:00,12
259,583,2018-12-18 09:30:00,18
260,583,2018-12-18 10:00:00,10
261,583,2018-12-18 10:30:00,11
262,583,2018-12-18 11:00:00,1
263,583,2018-12-18 11:30:00,3
264,583,2018-12-18 12:00:00,1
265,583,2018-12-18 12:30:00,3
266,583,2018-12-18 13:00:00,3
267,583,2018-12-18 13:30:00,1
268,583,2018-12-18 14:00:00,0
269,583,2018-12-18 14:30:00,3
